"Stage","Lead Source","ISI Sales Territory","Channel Partner","UC Platform(s)","Industry","Close Date","Close Month","Fiscal Period","Fiscal Year","Age","Amount"
"Closed Lost","Channel Inbound","","CDW Logistics, Inc.","Cisco","","6/9/2020","6/1/2020","Q2-2020","2020","197.0000000000","15288.00"
"Closed Lost","Channel Inbound","West","AT&T Services, Inc.","Cisco","Technology","10/25/2019","10/1/2019","Q4-2019","2019","164.0000000000","87142.60"
"Closed Lost","Channel Inbound","","Trace3, Inc.","Cisco","","2/28/2020","2/1/2020","Q1-2020","2020","126.0000000000","9555.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCE","Other","7/7/2022","7/1/2022","Q3-2022","2022","133.0000000000","15990.00"
"Closed Lost","Channel Inbound","Gulf","Chickasaw Telecom, Inc.","Cisco","Education","11/12/2021","11/1/2021","Q4-2021","2021","294.0000000000","1008.00"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Healthcare","7/7/2022","7/1/2022","Q3-2022","2022","531.0000000000","21141.00"
"Closed Lost","Website","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Transportation","10/27/2022","10/1/2022","Q4-2022","2022","181.0000000000","69014.00"
"Closed Won","Channel Inbound","Midwest","Sentinel Technologies, Inc.","Cisco","Government","7/30/2021","7/1/2021","Q3-2021","2021","207.0000000000","3690.00"
"Closed Lost","Channel Inbound","Gulf","ConvergeOne, Inc.","Cisco","Recreation","4/27/2021","4/1/2021","Q2-2021","2021","181.0000000000","4440.00"
"Closed Lost","Channel Inbound","Southeast","Continental Resources, Inc. (CRI)","Cisco UCCX","Other","4/16/2021","4/1/2021","Q2-2021","2021","66.0000000000","8736.00"
"Closed Lost","Channel Inbound","Southeast","United Data Technologies, Inc.","Cisco","Education","4/8/2022","4/1/2022","Q2-2022","2022","431.0000000000","35700.00"
"Closed Lost","Channel Inbound","Southeast","World Wide Technology, Inc.","Cisco","Energy","3/18/2021","3/1/2021","Q1-2021","2021","24.0000000000","1260.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Finance","4/18/2023","4/1/2023","Q2-2023","2023","817.0000000000","9561.60"
"Closed Lost","Website","","","Cisco","Government","6/10/2020","6/1/2020","Q2-2020","2020","233.0000000000","22800.00"
"Closed Lost","Website","Gulf","","Cisco","Retail","1/20/2020","1/1/2020","Q1-2020","2020","84.0000000000","20108.50"
"Closed Lost","Website","","","Cisco","","5/7/2020","5/1/2020","Q2-2020","2020","170.0000000000","24104.00"
"Closed Lost","Channel Inbound","West","Logicalis, Inc.","Cisco","Healthcare","5/18/2022","5/1/2022","Q2-2022","2022","908.0000000000","15234.00"
"Closed Lost","Channel Inbound","West","NextNet Partners, LLC","Cisco; Microsoft Skype For Business","Finance","6/10/2020","6/1/2020","Q2-2020","2020","127.0000000000","15234.00"
"Closed Lost","Channel Inbound","Northeast","Sakon","Cisco","Food & Beverage","4/15/2020","4/1/2020","Q2-2020","2020","126.0000000000","47250.00"
"Closed Lost","Channel Inbound","Gulf","Chickasaw Telecom, Inc.","Cisco","Healthcare","4/16/2021","4/1/2021","Q2-2021","2021","456.0000000000","2340.00"
"Closed Lost","Customer Support","Southeast","","Cisco","Hospitality","5/15/2023","5/1/2023","Q2-2023","2023","97.0000000000","12300.00"
"Closed Lost","Customer Support","Gulf","Insight Direct USA, Inc.","Cisco","Government","4/14/2023","4/1/2023","Q2-2023","2023","32.0000000000","5760.00"
"Closed Won","Customer Support","Southeast","","Avaya","Consulting","4/10/2023","4/1/2023","Q2-2023","2023","73.0000000000","1500.00"
"Closed Won","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Government","6/9/2021","6/1/2021","Q2-2021","2021","76.0000000000","7571.40"
"Closed Lost","Customer Support","Northeast","Presidio Networked Solutions Group, LLC","Cisco; Microsoft Teams","Retail","7/5/2022","7/1/2022","Q3-2022","2022","140.0000000000","6100.95"
"Closed Won","Channel Inbound","West","CDW Logistics, Inc.","Cisco","Finance","2/11/2020","2/1/2020","Q1-2020","2020","354.0000000000","2770.50"
"Closed Lost","Channel Inbound","Northeast","CDW Logistics, Inc.","Cisco","Government","10/1/2019","10/1/2019","Q4-2019","2019","155.0000000000","7660.00"
"Closed Lost","Channel Inbound","","AT&T Services, Inc.","Cisco","","7/30/2021","7/1/2021","Q3-2021","2021","629.0000000000","210000.00"
"Closed Lost","Channel Inbound","West","Development Group, Inc.","Cisco","Government","3/17/2020","3/1/2020","Q1-2020","2020","14.0000000000","5108.00"
"Closed Lost","Marketing Campaign","","Veytec Inc.","Cisco","","5/29/2020","5/1/2020","Q2-2020","2020","57.0000000000","11383.40"
"Closed Won","Channel Inbound","Gulf","AT&T Services, Inc.","Cisco","Healthcare","11/26/2019","11/1/2019","Q4-2019","2019","175.0000000000","65514.98"
"Closed Lost","Channel Inbound","","Mid-Atlantic Business Communications, Inc.","Avaya","","10/16/2019","10/1/2019","Q4-2019","2019","114.0000000000","12328.00"
"Closed Lost","Website","","","Cisco","","2/5/2020","2/1/2020","Q1-2020","2020","418.0000000000","10330.20"
"Closed Lost","Customer Support","Northeast","CDW Logistics, Inc.","Cisco","Retail","7/9/2019","7/1/2019","Q3-2019","2019","120.0000000000","113800.00"
"Closed Lost","Customer Support","West","","Cisco","Utilities","10/4/2022","10/1/2022","Q4-2022","2022","236.0000000000","5739.40"
"Closed Lost","Customer Support","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Energy","9/2/2022","9/1/2022","Q3-2022","2022","191.0000000000","1689.20"
"Closed Lost","Customer Support","West","ePlus Technology, Inc.","Cisco; Microsoft Teams","Government","5/15/2023","5/1/2023","Q2-2023","2023","383.0000000000","257.00"
"Closed Lost","Customer Support","","AT&T Services, Inc.","Cisco","Finance","4/19/2022","4/1/2022","Q2-2022","2022","68.0000000000","2892.04"
"Closed Lost","Channel Inbound","Gulf","TeleSpace, LLC","Cisco; Cisco UCCX","Technology","3/4/2022","3/1/2022","Q1-2022","2022","134.0000000000","144000.00"
"Closed Lost","Channel Inbound","North Central","CDW Logistics, Inc.","Cisco","Finance","12/18/2020","12/1/2020","Q4-2020","2020","44.0000000000","216000.00"
"Closed Lost","Channel Inbound","Southeast","World Wide Technology, Inc.","Cisco UCCX","Healthcare","12/27/2021","12/1/2021","Q4-2021","2021","279.0000000000","27000.00"
"Closed Lost","Website","Northeast","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Government","9/26/2022","9/1/2022","Q3-2022","2022","73.0000000000","41617.20"
"Closed Lost","Direct Sales","West","ConvergeOne, Inc.","Cisco","Government","4/11/2023","4/1/2023","Q2-2023","2023","406.0000000000","30270.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","6/11/2020","6/1/2020","Q2-2020","2020","178.0000000000","5895.00"
"Closed Lost","Direct Sales","Northeast","","Cisco","Education","9/2/2022","9/1/2022","Q3-2022","2022","297.0000000000","3777.55"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","12/5/2019","12/1/2019","Q4-2019","2019","55.0000000000","8502.00"
"Closed Lost","Channel Inbound","Midwest","CDW Logistics, Inc.","Cisco","Healthcare","5/5/2020","5/1/2020","Q2-2020","2020","161.0000000000","11485.00"
"Closed Lost","Website","Midwest","CDW Logistics, Inc.","Cisco; Cisco UCCX","Retail","4/14/2022","4/1/2022","Q2-2022","2022","99.0000000000","6735.00"
"Closed Lost","Channel Inbound","Northeast","SHI International Corporation","Microsoft Teams","Technology","1/15/2021","1/1/2021","Q1-2021","2021","144.0000000000","38608.63"
"Closed Lost","Channel Inbound","West","NTT America, Inc.","Cisco; Cisco UCCX; Microsoft Teams","Government","4/15/2021","4/1/2021","Q2-2021","2021","65.0000000000","13860.00"
"Closed Lost","Channel Inbound","Southeast","World Wide Technology, Inc.","Cisco UCCX","Healthcare","12/1/2021","12/1/2021","Q4-2021","2021","261.0000000000","407320.75"
"Closed Lost","Direct Sales","Southeast","","Cisco","Retail","4/11/2023","4/1/2023","Q2-2023","2023","63.0000000000","1116.38"
"Closed Lost","Channel Inbound","Gulf","Insight Direct USA, Inc.","Cisco","Retail","4/15/2022","4/1/2022","Q2-2022","2022","325.0000000000","46080.00"
"Closed Lost","Customer Support","Northeast","","Cisco Webex Calling","Consulting","4/14/2023","4/1/2023","Q2-2023","2023","43.0000000000","259.69"
"Closed Lost","Customer Support","","NWN Corporation","Cisco","","11/18/2020","11/1/2020","Q4-2020","2020","257.0000000000","7404.00"
"Closed Won","Customer Support","Northeast","","Cisco","Healthcare","5/8/2023","5/1/2023","Q2-2023","2023","66.0000000000","1077.12"
"Closed Lost","Channel Inbound","North Central","Advanced Network Management, Inc.","Cisco","Legal","2/6/2020","2/1/2020","Q1-2020","2020","34.0000000000","84495.00"
"Closed Lost","Customer Support","Gulf","NTT America, Inc.","Cisco","Healthcare","5/19/2023","5/1/2023","Q2-2023","2023","36.0000000000","22260.00"
"Closed Won","Channel Inbound","Gulf","NWN Corporation","Cisco; Cisco UCCX; Cisco UCCE; Nortel","Healthcare","3/31/2021","3/1/2021","Q1-2021","2021","9.0000000000","5760.00"
"Closed Lost","Website","","","Cisco","Healthcare","7/1/2020","7/1/2020","Q3-2020","2020","148.0000000000","4230.00"
"Closed Lost","Customer Support","Northeast","","Cisco; Cisco UCCX","Healthcare","10/6/2022","10/1/2022","Q4-2022","2022","191.0000000000","17528.77"
"Closed Won","Customer Support","West","","Cisco","Healthcare","12/30/2022","12/1/2022","Q4-2022","2022","297.0000000000","53442.00"
"Closed Lost","Channel Inbound","West","Presidio Networked Solutions Group, LLC","Microsoft Teams","Government","8/31/2022","8/1/2022","Q3-2022","2022","177.0000000000","15592.20"
"Closed Won","Customer Support","Northeast","","Cisco","Finance","4/5/2022","4/1/2022","Q2-2022","2022","7.0000000000","4093.18"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Education","7/11/2022","7/1/2022","Q3-2022","2022","221.0000000000","23688.00"
"Closed Lost","Channel Inbound","Midwest","Trace3, Inc.","Cisco; Cisco UCCX","Healthcare","4/8/2022","4/1/2022","Q2-2022","2022","386.0000000000","14280.00"
"Closed Lost","Channel Inbound","North Central","Flair Data Systems","Cisco UCCX","Finance","1/31/2023","1/1/2023","Q1-2023","2023","603.0000000000","2085.00"
"Closed Lost","Website","","","Cisco","Other","6/10/2020","6/1/2020","Q2-2020","2020","226.0000000000","3243.00"
"Closed Lost","Channel Inbound","Midwest","Marco, Inc.","Cisco","Finance","1/29/2020","1/1/2020","Q1-2020","2020","57.0000000000","3384.00"
"Closed Lost","Channel Inbound","Midwest","Intervision","Cisco","Engineering","7/6/2021","7/1/2021","Q3-2021","2021","635.0000000000","3384.00"
"Closed Lost","Channel Inbound","","ConvergeOne, Inc.","Cisco; Avaya","","7/9/2020","7/1/2020","Q3-2020","2020","202.0000000000","4468.00"
"Closed Won","Channel Inbound","North Central","Sentinel Technologies, Inc.","Cisco","Healthcare","1/13/2021","1/1/2021","Q1-2021","2021","474.0000000000","22780.00"
"Closed Lost","Website","Southeast","CDW Logistics, Inc.","Cisco","Education","12/8/2021","12/1/2021","Q4-2021","2021","64.0000000000","13593.60"
"Closed Won","Direct Sales","West","","Microsoft Teams","Finance","4/18/2023","4/1/2023","Q2-2023","2023","669.0000000000","14400.00"
"Closed Lost","Channel Inbound","Gulf","Carousel Industries of North America, Inc.","Cisco","Healthcare","7/21/2021","7/1/2021","Q3-2021","2021","57.0000000000","11424.00"
"Closed Lost","Channel Inbound","","MNJ Technologies Direct, Inc.","Cisco","","3/8/2022","3/1/2022","Q1-2022","2022","880.0000000000","24444.80"
"Closed Lost","Website","","","Cisco","Education","7/24/2020","7/1/2020","Q3-2020","2020","59.0000000000","16317.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","7/20/2020","7/1/2020","Q3-2020","2020","293.0000000000","10260.00"
"Closed Won","Events/Shows","Northeast","Sakon","Nortel","Healthcare","6/30/2020","6/1/2020","Q2-2020","2020","218.0000000000","72414.00"
"Closed Lost","Channel Inbound","","Sentinel Technologies, Inc.","Cisco","","8/22/2019","8/1/2019","Q3-2019","2019","140.0000000000","9200.00"
"Closed Won","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco; Shoretel","Healthcare","11/4/2019","11/1/2019","Q4-2019","2019","136.0000000000","8361.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","11/16/2021","11/1/2021","Q4-2021","2021","743.0000000000","13680.00"
"Closed Won","Events/Shows","Midwest","Sirius Computer Solutions, Inc. - a CDW Company","Cisco","Utilities","10/3/2019","10/1/2019","Q4-2019","2019","106.0000000000","64189.15"
"Closed Lost","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco","Retail","7/14/2020","7/1/2020","Q3-2020","2020","75.0000000000","5766.00"
"Closed Lost","Channel Inbound","Southeast","ConvergeOne, Inc.","Cisco","Finance","5/27/2022","5/1/2022","Q2-2022","2022","435.0000000000","45900.00"
"Closed Lost","Channel Inbound","North Central","CDW Logistics, Inc.","Cisco","Finance","9/2/2022","9/1/2022","Q3-2022","2022","450.0000000000","3795.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","7/30/2021","7/1/2021","Q3-2021","2021","707.0000000000","30396.00"
"Closed Lost","Website","North Central","CompuNet Inc.","Cisco","Healthcare","3/14/2019","3/1/2019","Q1-2019","2019","189.0000000000","6520.00"
"Closed Lost","Traditional/Offline Networking","","ConvergeOne, Inc.","Cisco","","10/3/2018","10/1/2018","Q4-2018","2018","27.0000000000","18753.00"
"Closed Lost","Website","West","Sentinel Technologies, Inc.","Cisco","Retail","6/10/2020","6/1/2020","Q2-2020","2020","642.0000000000","21847.25"
"Closed Lost","Channel Inbound","North Central","","Cisco","Healthcare","6/25/2021","6/1/2021","Q2-2021","2021","298.0000000000","7723.30"
"Closed Won","Events/Shows","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Government","11/21/2018","11/1/2018","Q4-2018","2018","75.0000000000","32334.75"
"Closed Won","Website","West","","Avaya","Hospitality","9/28/2018","9/1/2018","Q3-2018","2018","18.0000000000","3694.00"
"Closed Lost","Channel Inbound","Northeast","Systems Management Planning, Inc. (SMP)","Cisco","Finance","8/29/2019","8/1/2019","Q3-2019","2019","34.0000000000","3384.00"
"Closed Lost","Customer Support","Midwest","","Cisco; Cisco UCCX","Healthcare","5/17/2023","5/1/2023","Q2-2023","2023","21.0000000000","9295.84"
"Closed Lost","Website","North Central","","Cisco; Nortel","Healthcare","2/16/2022","2/1/2022","Q1-2022","2022","112.0000000000","27600.00"
"Closed Won","Channel Inbound","Southeast","ConvergeOne, Inc.","Cisco","Technology","5/18/2020","5/1/2020","Q2-2020","2020","11.0000000000","7227.36"
"Closed Lost","Channel Inbound","North Central","AT&T Services, Inc.","Cisco","Food & Beverage","8/26/2019","8/1/2019","Q3-2019","2019","201.0000000000","6393.00"
"Closed Lost","Website","","Nex4 Company Ltd.","Cisco","","10/3/2019","10/1/2019","Q4-2019","2019","37.0000000000","8314.25"
"Closed Won","Channel Inbound","Midwest","CDW Logistics, Inc.","Cisco","Healthcare","11/26/2019","11/1/2019","Q4-2019","2019","91.0000000000","49000.00"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Finance","5/14/2021","5/1/2021","Q2-2021","2021","430.0000000000","19217.81"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Finance","3/24/2021","3/1/2021","Q1-2021","2021","379.0000000000","18080.00"
